08-06-2020 21:58:43 INFO StatCollector.Users: 822  
08-06-2020 21:58:43 INFO StatCollector.Number of nodes: 5003626  
08-06-2020 21:58:43 INFO StatCollector.User xscvxc - 2007636 edits  
08-06-2020 21:58:43 INFO StatCollector.User Miroff - 560397 edits  
08-06-2020 21:58:43 INFO StatCollector.User siberiano - 437169 edits  
08-06-2020 21:58:43 INFO StatCollector.User msergeyv100 - 289886 edits  
08-06-2020 21:58:43 INFO StatCollector.User vitstud54 - 117943 edits  
08-06-2020 21:58:43 INFO StatCollector.User Kaylee - 99496 edits  
08-06-2020 21:58:43 INFO StatCollector.User AndreySmirnov - 98782 edits  
08-06-2020 21:58:43 INFO StatCollector.User whalerich - 98085 edits  
08-06-2020 21:58:43 INFO StatCollector.User Pavel Melnikov - 96682 edits  
08-06-2020 21:58:43 INFO StatCollector.User Sherper - 94297 edits  
08-06-2020 21:58:43 INFO StatCollector.User demon_h - 83398 edits  
08-06-2020 21:58:43 INFO StatCollector.User Guamo - 64594 edits  
08-06-2020 21:58:43 INFO StatCollector.User A54 - 59169 edits  
08-06-2020 21:58:43 INFO StatCollector.User Antonio_92 - 52100 edits  
08-06-2020 21:58:43 INFO StatCollector.User koSS_Rus - 44288 edits  
08-06-2020 21:58:43 INFO StatCollector.User oo-O-oo - 42525 edits  
08-06-2020 21:58:43 INFO StatCollector.User ONT - 42140 edits  
08-06-2020 21:58:43 INFO StatCollector.User Magomogo - 40047 edits  
08-06-2020 21:58:43 INFO StatCollector.User yohanson - 32299 edits  
08-06-2020 21:58:43 INFO StatCollector.User alex_hitman - 27111 edits  
08-06-2020 21:58:43 INFO StatCollector.User mike_lyulyukin - 26617 edits  
08-06-2020 21:58:43 INFO StatCollector.User maximaximax - 26483 edits  
08-06-2020 21:58:43 INFO StatCollector.User Географ - 25684 edits  
08-06-2020 21:58:43 INFO StatCollector.User velonavt - 24862 edits  
08-06-2020 21:58:43 INFO StatCollector.User MAS - 21968 edits  
08-06-2020 21:58:43 INFO StatCollector.User rockcreek - 20625 edits  
08-06-2020 21:58:43 INFO StatCollector.User Павел Яринюк - 20196 edits  
08-06-2020 21:58:43 INFO StatCollector.User VlIvYur - 19263 edits  
08-06-2020 21:58:43 INFO StatCollector.User katpatuka - 18048 edits  
08-06-2020 21:58:43 INFO StatCollector.User Nikolaev - 17003 edits  
08-06-2020 21:58:43 INFO StatCollector.User ilya3l - 16176 edits  
08-06-2020 21:58:43 INFO StatCollector.User pruosm - 14967 edits  
08-06-2020 21:58:43 INFO StatCollector.User ImmortAlex - 13316 edits  
08-06-2020 21:58:43 INFO StatCollector.User Ratty - 12512 edits  
08-06-2020 21:58:43 INFO StatCollector.User serhod - 12436 edits  
08-06-2020 21:58:43 INFO StatCollector.User afonin - 12367 edits  
08-06-2020 21:58:43 INFO StatCollector.User ThaJk - 11919 edits  
